headline_length_bucket,ai_model,approach,generated_similarity,generated_headline_sim
Short,gpt,neutral,0.21708176854286299,0.28546154545590674
Short,gpt,tass,0.21718161178155918,0.28407474924385995
Short,gpt,tvrain,0.18006205075840628,0.23253761148764016
Short,gpt,universal,0.2095435574748826,0.3246245683361126
Medium,gpt,neutral,0.24110363480923627,0.3380464327119717
Medium,gpt,tass,0.23014563017184972,0.31824133602706245
Medium,gpt,tvrain,0.19363026385262738,0.2494362190149281
Medium,gpt,universal,0.23347162282472608,0.32776617144397996
Long,gpt,neutral,0.32820989929881017,0.4486999688337055
Long,gpt,tass,0.15782572374229745,0.399726478378207
Long,gpt,tvrain,0.16364887556072666,0.3296375163753417
Long,gpt,universal,0.2157647036063954,0.570583734893996
