headline,newspaper,ai_model,approach,file,headline_length,generated_rouge1_f,generated_rouge2_f,generated_rougeL_f,generated_hl_rouge1_f,generated_hl_rouge2_f,generated_hl_rougeL_f,original_hl_rouge1_f,original_hl_rouge2_f,original_hl_rougeL_f
"Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали",tvrain,yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,13,0.10389609934221641,0.02380951921768796,0.10389609934221641,0.5128205082182776,0.370370365925926,0.5128205082182776,0.18181817681983486,0.07017543361034201,0.18181817681983486
Силовики сорвали концерт в баре Екатеринбурга,tvrain,yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,6,0.12631578447423844,0.0,0.12631578447423844,0.5142857098734694,0.4324324280496713,0.485714281302041,0.11267605195794503,0.0,0.11267605195794503
На Москву и Подмосковье обрушился сильный снегопад,tvrain,yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,7,0.05839415564388129,0.0,0.05839415564388129,0.16901408208688753,0.12499999762812504,0.16901408208688753,0.04651162585181188,0.0,0.04651162585181188
"Цена на «однушку» в Москве выросла на 86% за пять лет, цена студии — на 97%",tvrain,yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,16,0.1666666618055557,0.06122448498386127,0.1538461489850429,0.553846149646154,0.5238095195812075,0.553846149646154,0.19230768762019243,0.09230768753964522,0.1730769183894232
"Во Владивостоке прошел детский парад «Правнуки Победы», на который пригласили детей из КНДР",tvrain,yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,13,0.15909090413223156,0.02020201531680559,0.13636363140495886,0.6046511578583018,0.4329896858752259,0.5581395299513251,0.20512820013149255,0.02439023890541447,0.17948717449046694
В ближайшие дни на Землю упадет советская межпланетная станция «Космос-482» весом в полтонны,tvrain,yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,13,0.13749999585078138,0.052910048739957215,0.11249999585078141,0.6304347776110587,0.5471698063367748,0.6304347776110587,0.13924050225524767,0.05464480477171637,0.12658227440714642
"Ученые создали лекарство, нейтрализующее яд 19 самых смертоносных змей",tvrain,yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,9,0.12631578451855976,0.0,0.12631578451855976,0.5156249955908203,0.31578946936288094,0.48437499559082037,0.10958903699756067,0.0,0.09589040686057437
Релиз GTA VI перенесли на май 2026 года,tvrain,yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,8,0.18543045898162372,0.035087714675969287,0.17218542586904095,0.33766233347276103,0.20930232155759879,0.31168830749873505,0.1666666635680556,0.04511277899711705,0.14999999690138896
Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами,tass,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,9,0.38709676934526543,0.2937853058342112,0.37419354353881373,0.4395604353870306,0.34951455923838254,0.41758241340900865,0.45762711511490956,0.3593749966711427,0.44067796257253666
Президент Доминиканы встретился с главой МИД РФ,tass,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,7,0.21621621154583648,0.08433734478153602,0.18918918451880948,0.3529411733780277,0.2739725998123475,0.3529411733780277,0.1698113186027056,0.08403361149918796,0.1698113186027056
Кабмин одобрил проект соглашения о безвизовом режиме с Мьянмой,tass,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,9,0.22666666252088896,0.12359550157808372,0.22666666252088896,0.45070422063876214,0.33766233310845006,0.45070422063876214,0.3157894704483013,0.2064516100262227,0.3007518764633389
"Йеллен: пошлины, введенные Трампом, грозят стране рецессией",tass,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,7,0.174757277046114,0.05744124888492013,0.1682847851367289,0.26771653267282536,0.15172413545398336,0.26771653267282536,0.1071428554436384,0.07857142718392858,0.09821428401506699
"Группа ""Аэрофлот"" с июня запустит два регулярных рейса между Красноярском и Анадырем",tass,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,12,0.2699386460070007,0.08612439774089442,0.25766870735669395,0.4415584370855119,0.26666666238024694,0.4415584370855119,0.2898550694055871,0.18285714016914287,0.2898550694055871
Цена Brent на ICE опустилась ниже $60 за баррель впервые с 9 апреля,tass,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,13,0.4705882302944708,0.27397259774347915,0.4705882302944708,0.4819277068369865,0.357894733065928,0.4819277068369865,0.5365853618173706,0.3838383801652894,0.5365853618173706
Посол РФ: сумма инвестиций России в Казахстан вдвое больше официальных данных,tass,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,11,0.21774193161582991,0.09427609050096944,0.21774193161582991,0.48076922608173084,0.2807017498845799,0.4423076876201924,0.24324324034696862,0.13793103194081124,0.24324324034696862
В РФ дилеры ожидают роста продаж новых легковых авто за апрель на 15-20%,tass,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,13,0.1496062955629612,0.0192926010847702,0.1496062955629612,0.30952380554705217,0.22222221852839513,0.30952380554705217,0.1388888869860254,0.06792452677935211,0.12962962772676612
Башкирия намерена делать упор на несырьевом неэнергетическом экспорте и экспорте услуг,tass,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,11,0.19531249595703132,0.04575162994574772,0.17968749595703135,0.37894736475124663,0.23423423074425778,0.3368421015933518,0.20289854874932903,0.12244897775926697,0.20289854874932903
FT: ЕС может ограничить сроки соглашения с Лондоном в области продовольствия,tass,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,11,0.24701194728845577,0.0912052068155633,0.23107569230837618,0.34042552832956086,0.20606060293406794,0.3262411311664403,0.2954545424076705,0.18446601679328872,0.2954545424076705
