headline,teaser,ai_model,approach,file,headline_length,generated_similarity,generated_headline_sim,generated_length,original_length,generated_text,original_text
"Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали","Болезнь Вучича описывают как «внезапную», сообщила сербская государственная телерадиокомпания РТС. О диагнозе пока ничего неизвестно.",yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,13,0.057482915869191034,0.5519636079353124,57,31,"**Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали**

Сербский президент Александр Вучич был вынужден досрочно прервать свой визит в Соединённые Штаты Америки из-за внезапной болезни. Об этом сообщила сербская государственная телерадиокомпания РТС.

Согласно информации, предоставленной РТС, состояние здоровья Александра Вучича стало причиной его госпитализации. О диагнозе на данный момент ничего не известно.","По данным канала, после консультаций с врачами Вучич вернулся в Сербию, отказавшись от участия в нескольких встречах, для которых приезжал в США. После возвращения в Белград его госпитализировали в Военно-медицинскую академию."
Силовики сорвали концерт в баре Екатеринбурга,"Полицейские прервали концерт в баре Syndrome в Екатеринбурге вечером 3 мая, пишет издание E1.RU со ссылкой на одного из посетителей.",yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,6,0.11575627412958049,0.593814001592989,53,52,"**Силовики сорвали концерт в баре Екатеринбурга**

Вечером 3 мая полицейские прервали концерт в баре Syndrome в Екатеринбурге. Об этом пишет издание E1.RU со ссылкой на одного из посетителей.

Подробности произошедшего пока не уточняются. Причины, по которым силовики решили прервать мероприятие, также не разглашаются.

Представители правоохранительных органов и администрации бара пока не прокомментировали ситуацию.","По его словам, посетителей поставили к стене и проверили документы. Силовики спрашивали про отношение к «СВО» и «леворадикальным движениям», а также проверяли переписку в мессенджерах, пишет канал «Свет Екатеринбург».
Неизвестно, задержали ли кого-то силовики, но очевидцы сообщают, что несколько человек садились в полицейскую машину. Официальных комментариев от МВД и Росгвардии не поступало."
На Москву и Подмосковье обрушился сильный снегопад,В Москве и Подмосковье прошел сильный снегопад.,yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,7,0.07730490267931431,0.3256348173732414,71,85,"**На Москву и Подмосковье обрушился сильный снегопад**

Сегодня Москву и Московскую область накрыл сильный снегопад. Погодные условия резко изменились, что стало неожиданностью для жителей региона.

Информация о последствиях снегопада и мерах, предпринимаемых городскими службами, пока не поступала. Ожидается, что коммунальные и дорожные службы активизируют свою работу по уборке снега и обеспечению нормального функционирования городской инфраструктуры.

Жителям Москвы и Подмосковья рекомендуется быть внимательными и осторожными, следить за официальными сообщениями и прогнозами погоды.","Метеоролог Евгений Тишковец сообщил, что в Москве в полночь начался «ливневый снег». По его словам, за ночь в столице выпало 14 мм осадков или 22% от всей нормы мая. Снег повалил деревья и привел к пробкам, сообщают очевидцы.
Вот это доброе утро нам 2 мая. Проснулась от треска. Точнее, даже от выстрелов, потом треск. Не пойму, что происходит: смотрю, деревья валятся одно за другим, — рассказывает жительница.
Из-за мокрого снега ночью в Московской области более 26 тыс. человек остались без света, сообщил губернатор Андрей Воробьев."
"Цена на «однушку» в Москве выросла на 86% за пять лет, цена студии — на 97%","Средняя цена однокомнатной квартиры в новостройках Москвы «массового сегмента» за последние пять лет выросла на 86%, пишет РБК со ссылкой на аналитиков. При этом на вторичном рынке жилья за тот же период цена выросла только на 32%.",yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,16,0.17158045597099178,0.6958197146967975,123,82,"**Цена на «однушку» в Москве выросла на 86% за пять лет, цена студии — на 97%**

Средняя цена однокомнатной квартиры в новостройках Москвы «массового сегмента» за последние пять лет выросла на 86%, сообщает РБК со ссылкой на аналитиков. При этом на вторичном рынке жилья за тот же период цена увеличилась только на 32%.

Согласно предоставленным данным, рост цен на первичном рынке недвижимости в Москве значительно опережает динамику цен на вторичном рынке. Это может быть связано с различными факторами, включая изменение спроса и предложения, экономическую ситуацию в стране и регионе, а также с политикой застройщиков и банков в области кредитования.

Более детальный анализ причин такого роста цен и его возможных последствий для рынка недвижимости Москвы и её жителей потребует дополнительных исследований и комментариев экспертов.","В апреле 2020 года средняя цена однокомнатной квартиры составляла 6,9 млн рублей, в апреле 2025 года — уже 12,9 млн рублей. Сообщается, что речь идет о жилье в комплексах эконом и комфорт-класса.
Еще сильнее за пять лет подорожали студии —  на 97%, до 9,6 млн рублей.
Наиболее сильный рост средней цены на однокомнатные квартиры был в 2021 и 2022 годах (25% и 22% соответственно). Издание пишет, что это время совпало с «бумом льготной ипотеки». За последний год однокомнатные квартиры подорожали на 8%."
"Во Владивостоке прошел детский парад «Правнуки Победы», на который пригласили детей из КНДР","В «первом в истории» детском параде приняли участие 1500 учащихся младших классов из школ Приморья и дети из КНДР, сообщил в своем телеграм-канале губернатор Приморского края Олег Кожемяко.",yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,13,0.07732482644572727,0.672990721061269,64,42,"**Во Владивостоке прошёл детский парад «Правнуки Победы»**

В столице Приморского края состоялся детский парад «Правнуки Победы», в котором приняли участие 1500 учащихся младших классов из школ Приморья и дети из КНДР. Об этом сообщил в своём телеграм-канале губернатор Приморского края Олег Кожемяко.

Парад «Правнуки Победы» стал первым подобным мероприятием в истории. Участие в нём приняли дети из школ Приморья, а также ребята из КНДР.","Как отмечает издание vl.ru, первоклассники представляли разные виды войск, в том числе танкистов, ракетчиков, артиллеристов, моряков и пехотинцев.
В параде участвовала также делегация из КНДР. Как отметил на мероприятии Кожемяко, северокорейские военные «принимали активное участие в разгроме украинских боевиков на Курской земле»."
В ближайшие дни на Землю упадет советская межпланетная станция «Космос-482» весом в полтонны,"Речь идет о посадочном модуле станции «Космос-482», которая была запущена в 1972 году к Венере, но осталась на орбите Земли. Пока неизвестно, в какой именно день он упадет на Землю — ориентировочно это должно произойти в первой половине мая.",yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,13,0.11534327085440556,0.6355701120040613,59,137,"**В ближайшие дни на Землю упадёт советская межпланетная станция «Космос-482» весом в полтонны**

По информации из доступных источников, в первой половине мая на Землю может упасть советский космический аппарат «Космос-482». Это посадочный модуль межпланетной станции, которая была запущена в 1972 году к Венере, но осталась на орбите Земли.

Пока неизвестно, в какой именно день модуль «Космос-482» упадёт на Землю.","Станция была запущена в качестве дублера другой станции в рамках программы «Венера-8», но потерпела аварию и осталась на орбите Земли. На межпланетную траекторию станция не вышла из-за аварии разгонного блока, который прекратил работать раньше положенного.
В большинстве случаев падение космических аппаратов не становятся большой проблемой, когда они сгорают в атмосфере, либо когда такое падение контролируют с Земли. Однако «Космос-284» будет падать бесконтрольно, и, скорее всего, не полностью разрушится в атмосфере.
Как рассказал «Русской службе Би-би-си» аналитик ракетных пусков Георгий Тришкин, аппарат был рассчитан для более жесткого входа в атмосферу Венеры, поэтому его тепловой экран и герметичный отсек, скорее всего, переживут вход в атмосферу.
По его словам, расчеты на параметрах орбиты указывают, что область падения обломков почти полностью пролегает над сушей, скорее всего, над территорией Египта, Сирии, Турции и Азербайджана, поэтому есть риск падения модуля в жилые районы."
"Ученые создали лекарство, нейтрализующее яд 19 самых смертоносных змей","Американские ученые разработали противоядие, использовав уникальные антитела из крови мужчины, который сознательно вырабатывал иммунитет к змеиному яду, вводя себе небольшие дозы более 800 раз в течение 18 лет. Исследование опубликовано в научном журнале Cell.",yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,9,0.12450450011249763,0.45643661823123116,93,122,"**Учёные создали лекарство, нейтрализующее яд 19 самых смертоносных змей**

Американские учёные разработали новое противоядие, способное нейтрализовать яд 19 наиболее опасных змей. В основе лекарства лежат уникальные антитела, полученные из крови мужчины, который сознательно вырабатывал иммунитет к змеиному яду.

Согласно опубликованному исследованию в научном журнале Cell, этот человек вводил себе небольшие дозы яда более 800 раз на протяжении 18 лет. Полученные из его крови антитела стали ключевым компонентом нового противоядия.

Разработка такого лекарства является значительным достижением в области медицины и может спасти множество жизней в регионах, где змеиные укусы представляют серьёзную угрозу для населения.","Согласно исследованию, испытания на мышах показали, что новый антидот оказался эффективным против нейротоксинов 19 видов змей, включая мамб и кобр.
Разработать лекарство ученым помог американец Тим Фриде, герпетолог, который практиковал митридатизм — сознательное введение яда для выработки устойчивости. После сотен инъекций и укусов в крови Фриде выработались антитела. Ученые взяли у него образец крови и получили крупные партии антител для дальнейших испытаний.
Каждое из антител проходило испытания на мышах, которым вводили смертельную дозу змеиных ядов. Антитела обеспечили полную защиту от токсинов 13 видов змей, еще в шести случаях эффект оказался частичным.
При этом традиционные противоядия обычно действуют лишь против одного-двух видов. Теперь ученые планируют протестировать препарат на собаках, которые часто становятся жертвами укусов змей, а также разработать аналогичный препарат для семейства гадюковых."
Релиз GTA VI перенесли на май 2026 года,Релиз Grand Theft Auto VI перенесли на май 2026 года. Об этом объявила компания-разработчик Rockstar. Изначально игру планировалось выпустить уже этой осенью.,yandex,neutral,tvrain_combined_yandex_04_05_18_42.csv,8,0.17997067774415929,0.47453814842801434,65,110,"**Релиз GTA VI перенесли на май 2026 года**

Компания-разработчик Rockstar объявила о том, что релиз игры Grand Theft Auto VI перенесён на май 2026 года. Изначально выход игры был запланирован на осень текущего года.

Подробности о причинах переноса релиза не уточняются. Фанаты игры по всему миру с нетерпением ждут её выхода и надеются, что дополнительное время позволит разработчикам доработать проект и представить игрокам качественный продукт.","«С каждой выпущенной нами игрой мы всегда пытались превзойти ваши ожидания, и Grand Theft Auto VI не станет исключением. Мы надеемся, вы понимаете, что нам нужно дополнительное время, чтобы выпустить игру на том уровне, которого вы ожидаете и заслуживаете», — говорится в заявлении.
Новая часть GTA выйдет на консолях PlayStation и Xbox. Версия для PC пока не анонсирована.
Подробностей о проекте немного. Известно, что одним из игровых персонажей впервые за всю историю серии станет женщина, ее зовут Люсия. По сюжету у нее есть напарник. В декабре 2023 года Rockstar показала трейлер игры.
Предыдущая часть серии, GTA V, вышла в 2013 году и вошла в тройку самых продаваемых игр в истории."
Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами,"Как отметили в российском дипведомстве, со своей стороны Робер Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с РФ",yandex,neutral,tass_combined_yandex_01_05_12_05.csv,9,0.32959795790737983,0.5064272537157366,81,103,"**Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами**

В ходе дипломатического общения министр иностранных дел России Сергей Лавров и его коллега из Тоголезской Республики Робер Дюссей обменялись поздравительными телеграммами. Об этом сообщили в российском дипведомстве.

Согласно заявлению, Робер Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с Российской Федерацией. Детали обсуждаемых инициатив и направлений сотрудничества не были обнародованы.

Обмен телеграммами между главами МИД двух стран подчёркивает наличие дипломатических контактов и интерес к развитию отношений между Россией и Тоголезской Республикой.","МОСКВА, 1 мая. /ТАСС/. Министр иностранных дел России Сергей Лавров и глава МИД Тоголезской Республики Робер Дюссей обменялись поздравительными телеграммами по случаю 65-й годовщины установления дипломатических отношений между странами.
""В послании Лаврова дана высокая оценка традиционно дружественным российско-тоголезским связям, которые базируются на принципах взаимного уважения, близости подходов к актуальным вопросам международной и региональной повестки дня, - говорится в сообщении МИД РФ. - Выражена готовность к продолжению совместной работы в целях дальнейшего укрепления двустороннего взаимодействия, обеспечения устойчивого развития на Африканском континенте"".
Как отметили в российском дипведомстве, со своей стороны Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с Российской Федерацией в различных областях."
Президент Доминиканы встретился с главой МИД РФ,Сергей Лавров находится в республике с визитом,yandex,neutral,tass_combined_yandex_01_05_12_05.csv,7,0.2319693020317374,0.37002968822271926,63,110,"**Президент Доминиканы встретился с главой МИД РФ**

В рамках рабочего визита в Доминиканскую Республику министр иностранных дел Российской Федерации Сергей Лавров провёл встречу с президентом страны.

Детали встречи и обсуждаемые вопросы на данный момент не разглашаются. Известно лишь, что глава МИД РФ находится в республике с визитом.

Визит Сергея Лаврова в Доминиканскую Республику может способствовать укреплению дипломатических и экономических связей между двумя странами.","МОСКВА, 30 апреля. /ТАСС/. Президент Доминиканы Луис Абинадер принял главу МИД РФ Сергея Лаврова, находящегося в республике с визитом. Об этом сообщили в российском дипведомстве.
""Сергей Лавров был принят президентом Доминиканской Республики Луисом Абинадером"", - говорится в Telegram-канале МИД РФ.
Министр иностранных дел России прибыл с визитом в Доминиканскую Республику в среду, это первая поездка главы российской дипломатии в эту страну. Как рассказал сам Лавров, визит приурочен к открытию посольства РФ в столице республики Санто-Доминго. Глава российской дипломатии также провел встречу со своим доминиканским коллегой Роберто Альваресом Хилем.
Доминиканская Республика - государство в Карибском море, занимает восточную часть острова Гаити и некоторые прилегающие острова. Население - порядка 10 млн человек."
