headline_length_bucket,ai_model,approach,generated_similarity,generated_headline_sim
Short,yandex,neutral,0.2086607901881537,0.5113811010724207
Short,yandex,tass,0.2106555688855853,0.35257385422120896
Short,yandex,tvrain,0.19113848501980155,0.30660380185933744
Short,yandex,universal,0.20103721991704093,0.3476847079674446
Medium,yandex,neutral,0.24246164643643736,0.5214945345334502
Medium,yandex,tass,0.25372480871883585,0.40738276772956994
Medium,yandex,tvrain,0.21824359763172946,0.3412112742285999
Medium,yandex,universal,0.2381080202090805,0.4067227590221625
Long,yandex,neutral,0.17158045597099178,0.6958197146967975
Long,yandex,tass,0.13707194428334263,0.5057495322454196
Long,yandex,tvrain,0.21581172265244353,0.4988928015730266
Long,yandex,universal,0.20164901963593634,0.6167063172843112
