url,headline,lead,date,content,tags,metadata,category
https://tass.ru/politika/23834993,Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами,"Как отметили в российском дипведомстве, со своей стороны Робер Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с РФ","1 мая, 11:44","МОСКВА, 1 мая. /ТАСС/. Министр иностранных дел России Сергей Лавров и глава МИД Тоголезской Республики Робер Дюссей обменялись поздравительными телеграммами по случаю 65-й годовщины установления дипломатических отношений между странами.
""В послании Лаврова дана высокая оценка традиционно дружественным российско-тоголезским связям, которые базируются на принципах взаимного уважения, близости подходов к актуальным вопросам международной и региональной повестки дня, - говорится в сообщении МИД РФ. - Выражена готовность к продолжению совместной работы в целях дальнейшего укрепления двустороннего взаимодействия, обеспечения устойчивого развития на Африканском континенте"".
Как отметили в российском дипведомстве, со своей стороны Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с Российской Федерацией в различных областях.","Лавров, Сергей Викторович, Россия","{'@context': 'https://schema.org', '@type': 'NewsArticle', 'mainEntityOfPage': {'@type': 'WebPage', '@id': '/politika/23834993'}, 'headline': 'Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами', 'image': [], 'datePublished': '2025-05-01T12:44:55+03:00', 'dateModified': '2025-05-01T12:44:56+03:00', 'author': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'publisher': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'description': 'Как отметили в российском дипведомстве, со своей стороны Робер Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с РФ'}",politika
https://tass.ru/politika/23834691,Эксперт Сухов: нападающие на меньшинства в Сирии группировки борются за ресурсы,"Бывший глава Русского дома в Сирии не исключил, что в будущем может по такому же принципу произойти нападение на христиан","1 мая, 11:21","ТУНИС, 1 мая. /ТАСС/. Совершившие нападение на населенные друзами предместья Дамаска вооруженные группировки под предлогом этноконфессионального фактора преследуют цель захватить как можно больше ресурсов. Такое мнение выразил ТАСС ведущий научный сотрудник Центра ближневосточных исследований ИМЭМО РАН, бывший глава Русского дома в Сирии Николай Сухов.
Поводом для нападения, как сообщали сирийские СМИ, стала аудиозапись, приписываемая одному их друзских шейхов, в которой содержится оскорбление пророка Мухаммеда и его соратников. ""Этнорелигиозный фактор, как ранее по отношению к алавитам, так и сейчас по отношению к друзам - это решающий предлог. Это простой и легкий способ разжигать рознь, псевдорелигиозный фанатизм суннитской молодежи, которая хватается за оружие и под предводительством специально обученных людей начинает нападать на места проживания тех или иных этнорелигиозных меньшинств"", - сказал Сухов, не исключив при этом, что в будущем может по такому же принципу произойти нападение на христиан. ""На самом деле вооруженными группировками движет фактор экономический - это захват имущества, недвижимости, в конечном итоге захват ресурсов"", - считает эксперт. ""В Сирии крайне тяжелое экономическое положение, которое длится уже достаточно долго, оно было и до падения режима [бывшего президента Башара] Асада, а в настоящее время кризис усугубился. Поэтому те боевики, которые пришли из Идлиба в составе ""Хайат Тахрир аш-Шам"" (запрещена в РФ и признана террористической)  стараются захватить как можно больше"", - рассказал Сухов.
Основной ударной силой напавших на друзов и ранее совершавших атаки на алавитов в прибрежных сирийских провинциях являются иностранные боевики, в том числе выходцы из Афганистана, Средней Азии, Кавказа, стран Магриба, подчеркнул эксперт. По его словам, очевидцы с места событий слышат диалекты и идентифицируют их происхождение. ""Это основная движущая сила погромов, поскольку они рассматривают Сирию в рамках исламского права как военную добычу"", - подчеркнул Сухов.
По словам эксперта, обстановка на земле в Сирии меняется ежечасно, и, несмотря на появляющиеся сообщения о достижении соглашения о прекращении огня в населенных друзами предместьях сирийской столицы - Джарамане и Сахнае, местные жители передавали о том, что стрельба не стихала до позднего вечера. Говоря о возможных вариантах развития ситуации, эксперт не исключил, что она может выйти из-под контроля окончательно. ""Или правительству удастся взять под контроль вооруженные группировки, которые разжигают эти столкновения, или это выйдет из-под контроля окончательно"", - сказал эксперт, подчеркивая, что к боевым действиям подключились и бедуины, ""которые не первое десятилетие конфликтуют с друзами в Эс-Сувейде за ресурсы"", и местные радикалы. А друзы, по его словам, тоже ""будут биться до последнего"". Эксперт предполагает, что за счет таких ситуаций временный президент Сирии Ахмед аш-Шараа и его соратники ""попытаются избавиться от самых пассионарных боевиков, которые представляют огромную опасность для них самих, поскольку не принимают умеренный нарратив, попытки заигрывать с Западом и выглядеть как цивилизованное государство, и считают аш-Шараа отступником"". ""Соответственно во всех этих боевых действиях они тоже несут потери, и если в ходе столкновений на побережье от большого количества боевиков избавиться не удалось, в столкновениях с друзами они понесут большие потери"", - подчеркнул Сухов.
30 апреля вооруженные группировки взяли штурмом населенный друзами город Сахнайя в окрестностях Дамаска. Весь день они подтягивали подкрепление, в том числе бронетехнику, перерезали возможность подхода друзских подкреплений. Израильская авиация нанесла по исламистам несколько ударов, но этого оказалось недостаточно.
6 марта в сирийских провинциях Латакия, Тартус и Хомс начались столкновения между силами безопасности новых властей и сторонниками Асада. Наиболее ожесточенные бои произошли в городе Джебла, где проживают алавиты - представители религиозного меньшинства, к которому принадлежит семья бывшего лидера страны. В результате столкновений погибли свыше 1,5 тыс. человек.
В конце ноября 2024 года вооруженные оппозиционные формирования начали масштабное наступление на позиции сирийской армии. 8 декабря они вошли в Дамаск, Башар Асад оставил пост президента и покинул страну. Фактическим лидером Сирии стал глава группировки ""Хайат Тахрир аш-Шам"" Ахмед аш-Шараа, известный под прозвищем Абу Мухаммед аль-Джулани.","Сирия, Россия","{'@context': 'https://schema.org', '@type': 'NewsArticle', 'mainEntityOfPage': {'@type': 'WebPage', '@id': '/politika/23834691'}, 'headline': 'Эксперт Сухов: нападающие на меньшинства в Сирии группировки борются за ресурсы', 'image': [], 'datePublished': '2025-05-01T12:21:06+03:00', 'dateModified': '2025-05-01T12:21:06+03:00', 'author': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'publisher': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'description': 'Бывший глава Русского дома в Сирии не исключил, что в будущем может по такому же принципу произойти нападение на христиан'}",politika
https://tass.ru/politika/23834039,"Медведев: Трамп ""доломал"" Киев насчет расплаты полезными ископаемыми","Зампред Совбеза РФ указал, что ""теперь за военные поставки придется платить национальными богатствами исчезающей страны""","1 мая, 08:21,","МОСКВА, 1 мая. /ТАСС/. Киевские власти теперь должны расплачиваться с США национальными богатствами за военную помощь: американский лидер Дональд Трамп ""доломал"" их по этому поводу, указал зампред Совбеза РФ Дмитрий Медведев.
""Трамп доломал киевский режим расплачиваться за американскую помощь полезными ископаемыми. Теперь за военные поставки придется платить национальными богатствами исчезающей страны"", - написал он в своем Telegram-канале.
Ранее Трамп подтвердил факт заключения соглашения по доступу США к полезным ископаемым Украины.","Медведев, Дмитрий Анатольевич, Украина, США, Россия, Трамп, Дональд","{'@context': 'https://schema.org', '@type': 'NewsArticle', 'mainEntityOfPage': {'@type': 'WebPage', '@id': '/politika/23834039'}, 'headline': 'Медведев: Трамп ""доломал"" Киев насчет расплаты полезными ископаемыми', 'image': ['tass_media/2025/05/01/u/1746080672045430_ukqFiJdO.jpg'], 'datePublished': '2025-05-01T09:21:00+03:00', 'dateModified': '2025-05-01T10:41:38+03:00', 'author': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'publisher': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'description': 'Зампред Совбеза РФ указал, что ""теперь за военные поставки придется платить национальными богатствами исчезающей страны""'}",politika
https://tass.ru/politika/23834083,"Медведев заявил о сопротивлении ""глубинного государства"" Трампу",Зампред Совбеза РФ этим объяснил низкие рейтинги американского президента,"1 мая, 08:32","МОСКВА, 1 мая. /ТАСС/. Американское ""глубинное государство"" ожесточенно борется с президентом США Дональдом Трампом. Такую тенденцию отметил зампред Совбеза РФ Дмитрий Медведев.
""Сенат США, ведомый республиканцами, готовится ввести против нас очередные ""сокрушительные санкции"". Посмотрим на ответ новой администрации. Рейтинги Трампа ушли вниз, ""глубинное государство"" оказывает ему ожесточенное сопротивление"", - написал он в Telegram-канале.","Медведев, Дмитрий Анатольевич, США, Россия, Трамп, Дональд","{'@context': 'https://schema.org', '@type': 'NewsArticle', 'mainEntityOfPage': {'@type': 'WebPage', '@id': '/politika/23834083'}, 'headline': 'Медведев заявил о сопротивлении ""глубинного государства"" Трампу', 'image': ['tass_media/2025/05/01/E/1746090921255440_EAbDS-zP.jpg'], 'datePublished': '2025-05-01T09:32:58+03:00', 'dateModified': '2025-05-01T12:17:25+03:00', 'author': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'publisher': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'description': 'Зампред Совбеза РФ этим объяснил низкие рейтинги американского президента'}",politika
https://tass.ru/politika/23833937,Сенатор Никонорова: рекомендация не посещать РФ 9 мая обличает двойные стандарты Европы,"Член комитета Совета Федерации по международным делам отметила, что для стран, ослушавшихся рекомендаций, есть угроза дополнительных препятствий на пути к вступлению в ЕС","1 мая, 08:03","МОСКВА, 1 мая. /ТАСС/. Рекомендации главы дипслужбы Евросоюза Каи Каллас посетить 9 мая Киев, а не Москву говорят о двойных стандартах европейской демократии, а также об отсутствии свободы в принятии решений в странах ЕС. Такое мнение высказала ТАСС член комитета Совета Федерации по международным делам Наталья Никонорова.
Ранее Каллас объявила, что Брюссель требует от стран-кандидатов на вступление в сообщество не посещать Москву 9 Мая. Одновременно она призвала европейских лидеров съездить в этот день в Киев. Одним из условий вступления в ЕС является требование к странам-кандидатам поэтапно привести свою внешнюю политику в полное соответствие с политическим курсом Евросоюза, несмотря на то что кандидаты на прием в ЕС не могут влиять на его формирование.
""Такие ""предостережения"", а, возможно, даже угрозы или ультиматумы, являются прекрасной иллюстрацией сути европейской демократии - неравенство, давление, двойные стандарты и полная несвобода в принятии решений"", - сказала Никонорова.
Она добавила, что для стран, ослушавшихся рекомендаций, есть угроза дополнительных препятствий на пути к вступлению в ЕС. ""Не исключено также и применение других рычагов воздействия, например, финансового характера. Но в этой ситуации вопрос самих по себе последствий вторичен. Здесь важнее то, какие порядки нынче царят в Евросоюзе"", - отметила собеседница агентства.","Россия, Каллас, Кая, Никонорова, Наталья Юрьевна","{'@context': 'https://schema.org', '@type': 'NewsArticle', 'mainEntityOfPage': {'@type': 'WebPage', '@id': '/politika/23833937'}, 'headline': 'Сенатор Никонорова: рекомендация не посещать РФ 9 мая обличает двойные стандарты Европы', 'image': [], 'datePublished': '2025-05-01T09:03:54+03:00', 'dateModified': '2025-05-01T09:03:54+03:00', 'author': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'publisher': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'description': 'Член комитета Совета Федерации по международным делам отметила, что для стран, ослушавшихся рекомендаций, есть угроза дополнительных препятствий на пути к вступлению в ЕС'}",politika
https://tass.ru/politika/23833551,Депутат Водолацкий назвал ничтожными угрозы Украины взорвать Крымский мост,"Первый зампред комитета Госдумы по делам СНГ добавил, что ждать от Киева соблюдения перемирия 9 мая, объявленного президентом РФ Владимиром Путиным, не стоит","1 мая, 05:31","РОСТОВ-НА-ДОНУ, 1 мая. /ТАСС/. Заявления властей Украины о терактах в России 9 мая, в том числе подрыве Крымского моста, ничтожны и говорят о террористическом характере украинской власти и Владимира Зеленского. Об этом ТАСС заявил первый зампред комитета Госдумы по делам СНГ, евразийской интеграции и связям с соотечественниками Виктор Водолацкий.
Ранее Владимир Зеленский заявил, что Украина выбирает ""болевые точки России"" для побуждения Москвы к дипломатии, добавив, что в РФ ""должны переживать"" по поводу проведения парада Победы. Украинские медиа в свою очередь распространили видеоролик, в котором глава СБУ Василий Малюк назвал Крымский мост законной целью ВСУ.
""Не только угрозы взорвать Крымский мост, но и в целом заявления Зеленского говорят о том, что он - главный террорист сегодня в мире. Он открыто заявляет о том, что они готовят террористические акты на территории РФ. Эти заявления ничтожны. И Россия отметит 80-летие Победы"", - сказал собеседник агентства.
Цель террористических заявлений официального Киева - посеять панику среди граждан России, чтобы они боялись пойти на торжества, посвященные Дню Победы, считает Водолацкий.
Он добавил, что ждать от Украины соблюдения перемирия 9 мая, объявленного президентом РФ Владимиром Путиным, также не стоит. ""Учитывая циничность действий нацистского режима Зеленского, от руководства нацбатальонов ждать каких-то добрых действий в отношении трехдневного перемирия не стоит. Последнее заявление Зеленского говорит о том, что 9 мая, по их замыслу, они будут держать в страхе население России, которое придет на празднование Дня Победы. Это говорит о неадекватности всех его действий"", - уточнил Водолацкий.
Президент России Владимир Путин принял решение объявить перемирие в дни 80-летия Победы в Великой Отечественной войне с полуночи 8 мая до полуночи 11 мая. Как сообщил Кремль, ""на этот период останавливаются все боевые действия"". В прошлый раз Путин объявлял перемирие накануне Пасхи. Оно действовало с 18:00 мск 19 апреля до 00:00 мск 21 апреля. Как сообщали в Минобороны России, было зафиксировано 4,9 тыс. нарушений режима перемирия со стороны ВСУ.","Украина, Россия, Водолацкий, Виктор Петрович, Военная операция на Украине","{'@context': 'https://schema.org', '@type': 'NewsArticle', 'mainEntityOfPage': {'@type': 'WebPage', '@id': '/politika/23833551'}, 'headline': 'Депутат Водолацкий назвал ничтожными угрозы Украины взорвать Крымский мост', 'image': ['tass_media/2025/05/01/s/1746072757068825_sJ2vyYYB.jpg'], 'datePublished': '2025-05-01T06:31:15+03:00', 'dateModified': '2025-05-01T06:33:15+03:00', 'author': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'publisher': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'description': 'Первый зампред комитета Госдумы по делам СНГ добавил, что ждать от Киева соблюдения перемирия 9 мая, объявленного президентом РФ Владимиром Путиным, не стоит'}",politika
https://tass.ru/politika/23832879,"МИД РФ: Швейцария не имеет права конфисковать 7,5 млрд франков из активов ЦБ","В швейцарском законодательстве ""отсутствуют юридические основания"", допускающие такую конфискацию, добавили в ведомстве","30 апреля, 23:23","МОСКВА, 1 мая. /ТАСС/. Власти Швейцарии не имеют права конфисковать активы Центрального банка России на 7,5 млрд швейцарских франков, которые остаются заблокированными в коммерческих банках. Об этом заявили в российском дипведомстве ""Известиям"".
В МИД России напомнили, что Швейцария присоединилась ко всем 16 пакетам санкций Евросоюза, заблокировала активы юридических и физических лиц РФ, а также авуары ЦБ.
""По состоянию на 31 марта 2025 года объем заблокированных Конфедерацией средств Центрального банка Российской Федерации действительно составляет 7,45 млрд швейцарских франков"", - указали в ведомстве.
Там подчеркнули, что в законодательстве Швейцарии ""отсутствуют юридические основания, допускающие конфискацию средств Банка России"". ""Они размещены в коммерческих банках, и центральный швейцарский депозитарий их не обслуживает, а значит, не имеет технической возможности распоряжаться соответствующими доходами от вкладов. Посмотрим, насколько правительство Швейцарии будет привержено выполнению своего национального законодательства"", - пояснили в дипведомстве.","Россия, Швейцария, Санкции в отношении России","{'@context': 'https://schema.org', '@type': 'NewsArticle', 'mainEntityOfPage': {'@type': 'WebPage', '@id': '/politika/23832879'}, 'headline': 'МИД РФ: Швейцария не имеет права конфисковать 7,5 млрд франков из активов ЦБ', 'image': ['tass_media/2025/04/30/e/1746049659267677_el4Feodp.jpg'], 'datePublished': '2025-05-01T00:23:40+03:00', 'dateModified': '2025-05-01T00:51:17+03:00', 'author': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'publisher': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'description': 'В швейцарском законодательстве ""отсутствуют юридические основания"", допускающие такую конфискацию, добавили в ведомстве'}",politika
https://tass.ru/politika/23832461,Путин: Россию и ОАЭ связывают очень добрые дружеские отношения,Президент РФ принял вице-премьера арабской страны Сейфа бен Заида Аль Нахайяна в представительском кабинете Кремля,"30 апреля, 21:53,","МОСКВА, 30 апреля. /ТАСС/. Добрые дружеские отношения связывают Россию и ОАЭ, заявил президент РФ Владимир Путин на встрече в Кремле с вице-премьером арабской страны, главой МВД Сейфом бен Заидом Аль Нахайяном.
""Нас с Объединенными Арабскими Эмиратами связывают очень добрые дружеские отношения"", - обратился Путин к гостю.
Во встрече также участвовал глава МВД РФ Владимир Колокольцев. Российский лидер принял иностранного гостя в представительском кабинете Кремля.
Аль Нахайян ранее провел с Колокольцевым отдельную встречу. Российский министр отмечал готовность Москвы увеличивать информационный обмен с Абу-Даби по каналам Интерпола.","Путин, Владимир Владимирович, ОАЭ, Россия","{'@context': 'https://schema.org', '@type': 'NewsArticle', 'mainEntityOfPage': {'@type': 'WebPage', '@id': '/politika/23832461'}, 'headline': 'Путин: Россию и ОАЭ связывают очень добрые дружеские отношения', 'image': [], 'datePublished': '2025-04-30T22:53:57+03:00', 'dateModified': '2025-04-30T22:56:05+03:00', 'author': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'publisher': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'description': 'Президент РФ принял вице-премьера арабской страны Сейфа бен Заида Аль Нахайяна в представительском кабинете Кремля'}",politika
https://tass.ru/politika/23832357,Президент Доминиканы встретился с главой МИД РФ,Сергей Лавров находится в республике с визитом,"30 апреля, 21:38,","МОСКВА, 30 апреля. /ТАСС/. Президент Доминиканы Луис Абинадер принял главу МИД РФ Сергея Лаврова, находящегося в республике с визитом. Об этом сообщили в российском дипведомстве.
""Сергей Лавров был принят президентом Доминиканской Республики Луисом Абинадером"", - говорится в Telegram-канале МИД РФ.
Министр иностранных дел России прибыл с визитом в Доминиканскую Республику в среду, это первая поездка главы российской дипломатии в эту страну. Как рассказал сам Лавров, визит приурочен к открытию посольства РФ в столице республики Санто-Доминго. Глава российской дипломатии также провел встречу со своим доминиканским коллегой Роберто Альваресом Хилем.
Доминиканская Республика - государство в Карибском море, занимает восточную часть острова Гаити и некоторые прилегающие острова. Население - порядка 10 млн человек.","Лавров, Сергей Викторович, Россия, Доминиканская Республика, Абинадер, Луис","{'@context': 'https://schema.org', '@type': 'NewsArticle', 'mainEntityOfPage': {'@type': 'WebPage', '@id': '/politika/23832357'}, 'headline': 'Президент Доминиканы встретился с главой МИД РФ', 'image': [], 'datePublished': '2025-04-30T22:38:36+03:00', 'dateModified': '2025-04-30T22:48:01+03:00', 'author': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'publisher': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'description': 'Сергей Лавров находится в республике с визитом '}",politika
https://tass.ru/politika/23832403,Путин принял в Кремле вице-премьера - главу МВД ОАЭ,Сейф бен Заид Аль Нахайян ранее встречался в Москве с российским коллегой Владимиром Колокольцевым,"30 апреля, 21:47","МОСКВА, 30 апреля. /ТАСС/. Президент РФ Владимир Путин проводит в Кремле встречу с вице-премьером - министром внутренних дел Объединенных Арабских Эмиратов Сейфом бен Заидом Аль Нахайяном.
Накануне глава МВД ОАЭ встречался в Москве с российским коллегой Владимиром Колокольцевым. По итогам встречи Колокольцев заявил о готовности увеличивать информационный обмен с ОАЭ по каналам Интерпола.","Путин, Владимир Владимирович, Колокольцев, Владимир Александрович, ОАЭ, Россия","{'@context': 'https://schema.org', '@type': 'NewsArticle', 'mainEntityOfPage': {'@type': 'WebPage', '@id': '/politika/23832403'}, 'headline': 'Путин принял в Кремле вице-премьера - главу МВД ОАЭ', 'image': [], 'datePublished': '2025-04-30T22:47:09+03:00', 'dateModified': '2025-04-30T22:47:11+03:00', 'author': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'publisher': {'@type': 'Organization', 'name': 'ТАСС', 'logo': {'@type': 'ImageObject', 'url': 'https://tass.ru/newtass/img/blocks/common/tass-logo.jpg', 'width': 60, 'height': 60}}, 'description': 'Сейф бен Заид Аль Нахайян ранее встречался в Москве с российским коллегой Владимиром Колокольцевым'}",politika
