headline,lead
Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами,"Как отметили в российском дипведомстве, со своей стороны Робер Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с РФ"
Эксперт Сухов: нападающие на меньшинства в Сирии группировки борются за ресурсы,"Бывший глава Русского дома в Сирии не исключил, что в будущем может по такому же принципу произойти нападение на христиан"
"Медведев: Трамп ""доломал"" Киев насчет расплаты полезными ископаемыми","Зампред Совбеза РФ указал, что ""теперь за военные поставки придется платить национальными богатствами исчезающей страны"""
"Медведев заявил о сопротивлении ""глубинного государства"" Трампу",Зампред Совбеза РФ этим объяснил низкие рейтинги американского президента
Сенатор Никонорова: рекомендация не посещать РФ 9 мая обличает двойные стандарты Европы,"Член комитета Совета Федерации по международным делам отметила, что для стран, ослушавшихся рекомендаций, есть угроза дополнительных препятствий на пути к вступлению в ЕС"
Депутат Водолацкий назвал ничтожными угрозы Украины взорвать Крымский мост,"Первый зампред комитета Госдумы по делам СНГ добавил, что ждать от Киева соблюдения перемирия 9 мая, объявленного президентом РФ Владимиром Путиным, не стоит"
"МИД РФ: Швейцария не имеет права конфисковать 7,5 млрд франков из активов ЦБ","В швейцарском законодательстве ""отсутствуют юридические основания"", допускающие такую конфискацию, добавили в ведомстве"
Путин: Россию и ОАЭ связывают очень добрые дружеские отношения,Президент РФ принял вице-премьера арабской страны Сейфа бен Заида Аль Нахайяна в представительском кабинете Кремля
Президент Доминиканы встретился с главой МИД РФ,Сергей Лавров находится в республике с визитом
Путин принял в Кремле вице-премьера - главу МВД ОАЭ,Сейф бен Заид Аль Нахайян ранее встречался в Москве с российским коллегой Владимиром Колокольцевым
Кабмин одобрил проект соглашения о безвизовом режиме с Мьянмой,"Документ позволит гражданам двух стран ""въезжать, следовать транзитом и пребывать на территории"" другой страны - участницы соглашения без виз"
