headline,lead,category,content,date,url
AP: в США хотят провести военный парад в день рождения Трампа,"Американские власти собираются провести военный парад в день рождения президента Дональда Трампа. Об этом пишет Associated Press со ссылкой на документы, которые не были обнародованы",news,"Мероприятие запланировано на 14 июня. В этот же день исполнится 250 лет вооруженным силам США и официально парад будет приурочен к этой дате.
Мероприятие может пройти на Национальной алее в Вашингтоне. К участию планируется привлечь более 6,6 тыс. военных, не менее 150 транспортных средств, 50 вертолетов и семь оркестров. По оценке AP, все это, вероятно, обойдется бюджету в десятки млн долларов.
Издание отмечает, что Трамп еще во время своего первого срока хотел провести подобный парад. Но тогда ему помешали это сделать высокие расходы на мероприятие. Кроме того, местные власти выражали беспокойство, что тяжелая техника повредит дороги.
Журналисты подчеркивают, что окончательно планы по параду пока не согласованы.","May 2, 2025, 12:38 PM",https://tvrain.tv/news/ap-v-ssha-hotjat-provesti-voennyj-parad-v-den-rozhdenija-trampa-562132/
"Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали","Болезнь Вучича описывают как «внезапную», сообщила сербская государственная телерадиокомпания РТС. О диагнозе пока ничего неизвестно.",news,"По данным канала, после консультаций с врачами Вучич вернулся в Сербию, отказавшись от участия в нескольких встречах, для которых приезжал в США. После возвращения в Белград его госпитализировали в Военно-медицинскую академию.","May 3, 2025, 5:23 PM",https://tvrain.tv/news/prezident-serbii-aleksandr-vuchich-dosrochno-prerval-vizit-v-ssha-iz-za-bolezni-ego-gospitalizirovali-562144/
Силовики сорвали концерт в баре Екатеринбурга,"Полицейские прервали концерт в баре Syndrome в Екатеринбурге вечером 3 мая, пишет издание E1.RU со ссылкой на одного из посетителей.",news,"По его словам, посетителей поставили к стене и проверили документы. Силовики спрашивали про отношение к «СВО» и «леворадикальным движениям», а также проверяли переписку в мессенджерах, пишет канал «Свет Екатеринбург».
Неизвестно, задержали ли кого-то силовики, но очевидцы сообщают, что несколько человек садились в полицейскую машину. Официальных комментариев от МВД и Росгвардии не поступало.","May 4, 2025, 5:01 PM",https://tvrain.tv/news/siloviki-sorvali-kontsert-v-bare-ekaterinburga-562158/
"Сергей Лавров написал предисловие к книге, в которой отрицается государственность Литвы","Глава МИД России Сергей Лавров стал автором предисловия к монографии «История Литвы», сообщает телеканал LRT.",news,"В предисловии Лавров заявил, что страны Балтии используют «сфальсифицированные исторические нарративы для стимулирования антироссийских и русофобских настроений». По его словам, «на фоне попыток подвергнуть историю ревизии в угоду политической конъюнктуре» книга приобретает особое значение.
Глава МИД Литвы Кястутис Будрис назвал монографию «инструментом российской пропаганды» и сравнил идеи книги с риторикой, сопровождавшей вторжение России в Украину. По его словам, в ней ставится под сомнение государственность и история Литвы, а также оправдывается империализм и агрессия России против ее соседей.
Как утверждает профессор Гинтаутас Мажейкис из Университета Витаутаса Великого, в книге говорится, что литовской нации и языка не существует. Там также утверждается, что литовское национальное государство было создано славянами и Россией, отметил он в разговоре с LRT.
🔵Монографию «История Литвы» в 2025 году выпустило издательство «Международные отношения» при МГИМО, обращает внимание «Агентство». Руководителем коллектива из девяти авторов стал Максим Григорьев — директор прокремлевского Фонда исследования проблем демократии, участник войны в Украине и председатель «Международного общественного трибунала по преступлениям украинских неонацистов».","May 2, 2025, 10:12 PM",https://tvrain.tv/news/sergej-lavrov-napisal-predislovie-k-knige-v-kotoroj-otritsaetsja-gosudarstvennost-litvy-562138/
На Москву и Подмосковье обрушился сильный снегопад,В Москве и Подмосковье прошел сильный снегопад.,news,"Метеоролог Евгений Тишковец сообщил, что в Москве в полночь начался «ливневый снег». По его словам, за ночь в столице выпало 14 мм осадков или 22% от всей нормы мая. Снег повалил деревья и привел к пробкам, сообщают очевидцы.
Вот это доброе утро нам 2 мая. Проснулась от треска. Точнее, даже от выстрелов, потом треск. Не пойму, что происходит: смотрю, деревья валятся одно за другим, — рассказывает жительница.
Из-за мокрого снега ночью в Московской области более 26 тыс. человек остались без света, сообщил губернатор Андрей Воробьев.","May 2, 2025, 12:36 PM",https://tvrain.tv/news/na-moskvu-i-podmoskove-obrushilsja-silnyj-snegopad-562130/
"Коммунальные услуги в РФ подорожают на 40% за ближайшие четыре года. Эксперт Дождя — о том, на кого это повлияет в первую очередь","В 2025 году услуги ЖКХ станут дороже на 12% — а за ближайшие четыре года подорожают на 40%. За газ к 2028 году россияне будут платить на 80% больше, чем до начала полномасштабной войны. Об этом говорится в докладе Минэкономразвития. Скачок цен на газ объясняется подключением к единой системе газоснабжения оккупированных территорий Украины.",news,"До начала полномасштабной войны коммунальные тарифы индексировались по формуле «инфляция-минус» — то есть индексация была ниже уровня инфляции, но теперь в России делают это по формуле «инфляция-плюс», рассказал в эфире Дождя редактор отдела экономики издания The Bell Денис Касянчук.
От индексации тарифов в первую очередь проигрывают менее состоятельные хозяйства — потому что в структуре их расходов траты на коммунальные услуги гораздо больше, чем у тех, у кого доход больше, говорит эксперт. При этом, по мнению Касянчука, индексация вряд ли вызовет ощутимый социальный отклик у россиян:
«У нас уже индексировали несколько раз те же самые тарифы на жилищно-коммунальные услуги, но, честно говоря, никакого отклика, по-моему, не было. Может быть, государство будет снова щедро раздавать социальные выплаты для неимущих слоев населения, как, в принципе, оно это уже делало после 2022 года, да и до 2022 года тоже».
Эксперт обращает внимание на возможное замедление снижения ключевой ставки ЦБ. Это означает, что в РФ останутся дорогие кредиты — но и высокие проценты по депозитам.
«Если говорить простыми словами, то если вы хотели купить машину в кредит, то ставка по этому кредиту все еще будет оставаться повышенной. Но если у вас цель экономить и как-то копить деньги, то более высокие депозиты, возможно, останутся с нами тоже на гораздо более долгий срок».","May 2, 2025, 5:04 PM",https://tvrain.tv/news/kommunalnye-uslugi-v-rf-podorozhajut-na-40-za-blizhajshie-chetyre-goda-ekspert-dozhdja-o-tom-na-kogo-eto-povlijaet-v-pervuju-ochered-562135/
Зеленский назвал предложение Путина о трехдневном перемирии на 9 мая «театральной постановкой»,Президент Украины Владимир Зеленский вновь  призвал российские власти согласиться на предложение установить прекращение огня на 30 дней.,news,"Играть для того, чтобы дать мягкую атмосферу выхода из изоляции Путину на 9 мая, и чтобы всем было комфортно, безопасно — тем лидерам, или друзьям, или партнерам Путина, которые приедут, по тем или иным причинам на Кремлевскую площадь на 9 мая, — помогать Путину никто не будет. Мы просто либо находимся в состоянии войны, либо Путин показывает, что он готов к прекращению огня, к первой части окончания войны, — сказал он.
По его словам, «за три, пять, семь дней невозможно ни о чем договориться». Зеленский добавил, что предложение Путина о перемирии на 9 мая — это «больше театральная постановка с его стороны».
🔵28 апреля Путин объявил перемирие на трое суток в дни 80-летия Победы. По сообщению Кремля, с нуля часов с 7 на 8 мая до нуля часов с 10 на 11 мая российская сторона объявляет перемирие. Зеленский назвал предложение «манипуляцией» и предложил 30-дневное прекращение огня.","May 3, 2025, 5:24 PM",https://tvrain.tv/news/zelenskij-nazval-predlozhenie-putina-o-trehdnevnom-peremirii-na-9-maja-teatralnoj-postanovkoj-562145/
В Московской области тысячи людей остаются без электричества после снегопада,"После майского снегопада почти 26 тысяч жителей Подмосковья третий день остаются без электричества из-за мокрого снега и ветра, которые оборвали провода и стали причиной падения деревьев, сообщил губернатор Московской области Андрей Воробьев.",news,"По его словам, больше всего пострадали северные и северно-западные округа, в том числе Талдом, Дмитров и Сергиев Посад.
Гендиректор ПАО «Россети Московский регион» Александр Пятигор сравнил масштабы блэкаута с ЧП после ледяного дождя в 2011 году.  Электроснабжение планируют восстановить в течение дня.
🔵2 мая на Москву и Подмосковье обрушился сильный снегопад. Метеоролог Евгений Тишковец сообщил, что в Москве в полночь начался «ливневый снег». По его словам, за ночь в столице выпало 14 мм осадков или 22% от всей нормы мая.","May 4, 2025, 5:00 PM",https://tvrain.tv/news/v-moskovskoj-oblasti-tysjachi-ljudej-ostajutsja-bez-elektrichestva-posle-snegopada-562157/
Партию «Альтернатива для Германии (АДГ) признали в стране «правоэкстремистской»,Федеральное ведомство по защите конституции ФРГ объявило партию «Альтернатива для Германии» (АДГ) «безусловно правоэкстремистской».,news,"Среди основных нарушений выделяются подрыв принципов демократии и человеческого достоинства.
Ранее такой статус был лишь у нескольких региональных отделений АДГ, но в целом на федеральном уровне она характеризовалась только как «подозреваемая в экстремизме».
Как отмечает OstWest, признание партии «безусловно правоэкстремистской» не означает, что ее обязательно запретят в стране. Такой вариант возможен в случае подачи соответствующего заявления в суд. При этом, пишет Reuters, теперь немецкие власти смогут пристальнее следить за ее деятельностью.
Согласно последним опросам, АДГ сейчас самая популярная партия в стране. Ее рейтинг составляет 26%.","May 2, 2025, 12:37 PM",https://tvrain.tv/news/partiju-alternativa-dlja-germanii-adg-priznali-v-strane-pravoekstremistskoj-562131/
"Российские дроны атаковали Харьков, 51 человек ранен",Об этом сообщает прокуратура Харьковской области.,news,"По словам главы полиции региона Петра Токаря, госпитализированы 12 человек, в том числе ребенок.
Больше всего в результате атаки пострадал Слободской район. Повреждения получили многоквартирные и частные дома, детский сад и 15 автомобилей, добавил Токарь.","May 3, 2025, 5:27 PM",https://tvrain.tv/news/rossijskie-drony-atakovali-harkov-51-chelovek-ranen-562148/
