headline,lead
AP: в США хотят провести военный парад в день рождения Трампа,"Американские власти собираются провести военный парад в день рождения президента Дональда Трампа. Об этом пишет Associated Press со ссылкой на документы, которые не были обнародованы"
"Президент Сербии Александр Вучич досрочно прервал визит в США из-за болезни, его госпитализировали","Болезнь Вучича описывают как «внезапную», сообщила сербская государственная телерадиокомпания РТС. О диагнозе пока ничего неизвестно."
Силовики сорвали концерт в баре Екатеринбурга,"Полицейские прервали концерт в баре Syndrome в Екатеринбурге вечером 3 мая, пишет издание E1.RU со ссылкой на одного из посетителей."
"Сергей Лавров написал предисловие к книге, в которой отрицается государственность Литвы","Глава МИД России Сергей Лавров стал автором предисловия к монографии «История Литвы», сообщает телеканал LRT."
На Москву и Подмосковье обрушился сильный снегопад,В Москве и Подмосковье прошел сильный снегопад.
"Коммунальные услуги в РФ подорожают на 40% за ближайшие четыре года. Эксперт Дождя — о том, на кого это повлияет в первую очередь","В 2025 году услуги ЖКХ станут дороже на 12% — а за ближайшие четыре года подорожают на 40%. За газ к 2028 году россияне будут платить на 80% больше, чем до начала полномасштабной войны. Об этом говорится в докладе Минэкономразвития. Скачок цен на газ объясняется подключением к единой системе газоснабжения оккупированных территорий Украины."
Зеленский назвал предложение Путина о трехдневном перемирии на 9 мая «театральной постановкой»,Президент Украины Владимир Зеленский вновь  призвал российские власти согласиться на предложение установить прекращение огня на 30 дней.
В Московской области тысячи людей остаются без электричества после снегопада,"После майского снегопада почти 26 тысяч жителей Подмосковья третий день остаются без электричества из-за мокрого снега и ветра, которые оборвали провода и стали причиной падения деревьев, сообщил губернатор Московской области Андрей Воробьев."
Партию «Альтернатива для Германии (АДГ) признали в стране «правоэкстремистской»,Федеральное ведомство по защите конституции ФРГ объявило партию «Альтернатива для Германии» (АДГ) «безусловно правоэкстремистской».
"Российские дроны атаковали Харьков, 51 человек ранен",Об этом сообщает прокуратура Харьковской области.
Reuters: США разработали новые санкции против «Газпрома» и российских банков,"Власти США подготовили новые санкции в отношении России, направленные против энергетического и банковского секторов, пишет Reuters со ссылкой на источники."
"Цена на «однушку» в Москве выросла на 86% за пять лет, цена студии — на 97%","Средняя цена однокомнатной квартиры в новостройках Москвы «массового сегмента» за последние пять лет выросла на 86%, пишет РБК со ссылкой на аналитиков. При этом на вторичном рынке жилья за тот же период цена выросла только на 32%."
"Путин заявил, что Россия не готовилась к войне, а «стремилась мирно решить проблему Донбасса»",Об этом он заявил пропагандисту Павлу Зарубину в документальном фильме «Россия. Кремль.Путин. 25 лет».
Спецпредставитель Путина по Афганистану: Россия готова помочь талибам «в борьбе с терроризмом»,"По словам Замира Кабулова, Россия готова оказать содействие талибам в борьбе с терроризмом в Афганистане «по линии профильных структур», передает РИА Новости."
При ударе российских военных по Запорожью пострадали 29 человек,"При ударе российских военных по Запорожью пострадали 29 человек. В числе раненых — 13-летний подросток, сообщил глава Запорожской обладминистрации Иван Федоров."
"Во Владивостоке прошел детский парад «Правнуки Победы», на который пригласили детей из КНДР","В «первом в истории» детском параде приняли участие 1500 учащихся младших классов из школ Приморья и дети из КНДР, сообщил в своем телеграм-канале губернатор Приморского края Олег Кожемяко."
"Путин: реакция общества на «СВО» была «такой, на которую я надеялся»",Такое заявление он сделал в интервью пропагандисту Павлу Зарубину.
Дональд Трамп опубликовал свое изображение в образе Папы Римского,Президент США выложил пост с ИИ-изображением в соцсети Truth Social.
В ближайшие дни на Землю упадет советская межпланетная станция «Космос-482» весом в полтонны,"Речь идет о посадочном модуле станции «Космос-482», которая была запущена в 1972 году к Венере, но осталась на орбите Земли. Пока неизвестно, в какой именно день он упадет на Землю — ориентировочно это должно произойти в первой половине мая."
"Ученые создали лекарство, нейтрализующее яд 19 самых смертоносных змей","Американские ученые разработали противоядие, использовав уникальные антитела из крови мужчины, который сознательно вырабатывал иммунитет к змеиному яду, вводя себе небольшие дозы более 800 раз в течение 18 лет. Исследование опубликовано в научном журнале Cell."
"Сотрудников детсада в Челябинске, который собирал «подарки участникам СВО», проверяют из-за сообщений об истязании детей","СК начал проверку в детском саду №251, где недавно проводили акцию по сбору «подарков» для участников «СВО». Проверка проводится по двум статьям УК – «истязание» и «халатность», пишет телеграм-канал «Челябинск будущего»."
"Путин заявил, что постоянно думает о преемнике, но в конечном итоге «выбор будет за россиянами»",Об этом он сообщил пропагандисту Павлу Зарубину в документальном фильме «Россия. Кремль.Путин. 25 лет».
Релиз GTA VI перенесли на май 2026 года,Релиз Grand Theft Auto VI перенесли на май 2026 года. Об этом объявила компания-разработчик Rockstar. Изначально игру планировалось выпустить уже этой осенью.
В Новороссийске украинские дроны попали в жилые дома,"По словам губернатора Краснодарского края Вениамина Кондратьева, три многоквартирных дома в Новороссийске получили повреждения в результате атаки."
