headline,lead,generated_article
Лавров и глава МИД Тоголезской Республики обменялись поздравительными телеграммами,"Как отметили в российском дипведомстве, со своей стороны Робер Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с РФ","МОСКВА, 25 октября. /ТАСС/. Министр иностранных дел Российской Федерации Сергей Лавров и глава МИД Тоголезской Республики Роберт Дюссей обменялись поздравительными телеграммами. Об этом сообщает пресс-служба МИД России.

В своем поздравлении глава российского иностранных дел утверждает, что Россия ценит традиционно дружественные отношения с Тоголезской Республикой и намерена продолжать активное сотрудничество в различных сферах. ""Уверены, что наш совместный опыт и взаимное стремление к расширению сотрудничества будут способствовать дальнейшему укреплению российско-тоголезских связей"", - говорится в поздравлении.

Со своей стороны, Роберт Дюссей подтвердил настрой Тоголезской Республики на расширение взаимовыгодного сотрудничества с Российской Федерацией. ""Мы видим большой потенциал для укрепления наших двусторонних связей в различных областях, включая торговлю и экономику, науку и образование, культуру и туризм"", - отмечается в телеграмме главы МИД Тоголезской Республики.

Дипломаты также обменялись мнениями о современной международной обстановке, выразили надежду на укрепление роли ООН в мировых процессах и подчеркнули важность соблюдения норм международного права.

Отметим, что Россия и Того сотрудничают в различных областях, включая образование, здравоохранение, энергетику и сельское хозяйство. Именно в этих сферах обе страны видят основные векторы дальнейшего развития двусторонних отношений."
Эксперт Сухов: нападающие на меньшинства в Сирии группировки борются за ресурсы,"Бывший глава Русского дома в Сирии не исключил, что в будущем может по такому же принципу произойти нападение на христиан","МОСКВА, 20 сентября. /ТАСС/. Действующие в Сирии радикальные группировки, нападающие на этнические и религиозные меньшинства, борются за контроль над ресурсами. Об этом в интервью ТАСС заявил бывший глава Русского дома в Сирии, эксперт по Ближнему Востоку Александр Сухов.

""Конфликт в Сирии не только идеологический, он также связан с борьбой за ресурсы. Экстремистские группировки нападают на меньшинства в стремлении контролировать ключевые территории и источники дохода"", - подчеркнул Сухов.

Эксперт отметил, что сегодня основные цели ударов радикалов стали курды и друзы, однако в будущем подобная угроза может нависнуть и над христианским населением Сирии.

""Сегодня мы видим, что основные удары направлены на курдов и друзов - на самые многочисленные и влиятельные меньшинства. Но нельзя исключать, что в будущем подобные нападения могут быть осуществлены и в отношении христиан"", - предупредил Сухов.

Эксперт также вызвал с международной общественностью и правозащитными организациями принять меры для защиты уязвимых групп населения в Сирии.

""Необходимо усилить международные усилия по защите меньшинств в Сирии. Иначе мы рискуем столкнуться с гуманитарной катастрофой еще большего масштаба"", - подчеркнул он.

Сухов призвал международное сообщество принять все необходимые меры для предотвращения расширения сферы влияния террористических группировок и защиты всех групп населения, ставших объектами их агрессии. Он также подчеркнул важность установления долгосрочного мира и стабильности в Сирии, а также восстановления ее экономики после лет войны."
"Медведев: Трамп ""доломал"" Киев насчет расплаты полезными ископаемыми","Зампред Совбеза РФ указал, что ""теперь за военные поставки придется платить национальными богатствами исчезающей страны""","МОСКВА, 24 октября - ТАСС. Российский заместитель председателя Совета Безопасности Дмитрий Медведев выразил свое мнение относительно политики американского президента Дональда Трампа в отношении Украины. По его словам, Трамп ""доломал"" Киев в вопросе расплаты за военные поставки полезными ископаемыми.

""Теперь за военные поставки Украине придется платить своими национальными богатствами. Это становится реальностью для исчезающей страны"", - заявил Медведев в среду.

Зампред Совбеза РФ подчеркнул, что такая позиция Вашингтона не способствует укреплению суверенитета Украины, а наоборот, приводит к его подрыву. По мнению Медведева, такой подход может вызвать серьезные последствия для экономики и политической стабильности страны.

""Это напоминает о колониальной политике, когда от страны требуют не просто верности, но и отдачи своих ресурсов. И это происходит в XXI веке"", - подчеркнул Медведев. 

Он также выразил надежду, что украинские власти смогут оценить все последствия такого вида сотрудничества с США и примут соответствующие меры для защиты национальных интересов страны. 

""Мы надеемся, что украинское руководство поймет опасность такого курса и сможет принять правильные решения в интересах своего народа"", - заключил заместитель председателя Совета Безопасности РФ."
"Медведев заявил о сопротивлении ""глубинного государства"" Трампу",Зампред Совбеза РФ этим объяснил низкие рейтинги американского президента,"МОСКВА, 25 января. /ТАСС/. Заместитель Председателя Совета Безопасности РФ Дмитрий Медведев заявил о сопротивлении, которое ""глубинное государство"" оказывает действующему президенту США Дональду Трампу. Об этом он сообщил в среду на встрече с российскими журналистами.

""Мы видим, как сейчас в США противостоит нынешнему президенту так называемое 'глубинное государство'. Это серьезное препятствие для выполнения им своих обязанностей"", - сказал Медведев. Таким образом, по мнению зампреда Совбеза РФ, можно объяснить низкие рейтинги американского лидера.

""Глубинное государство"" - термин, используемый для обозначения влиятельных сил внутри политической системы, которые, по мнению некоторых политологов, могут оказывать существенное влияние на принятие решений на высшем уровне, независимо от результатов выборов.

Медведев также добавил, что такие внутренние проблемы в США влияют на международную политику. ""Это не может не отражаться на международной арене, включая наши двусторонние отношения"", - подчеркнул он.

Заместитель Председателя Совета Безопасности РФ также выразил надежду на то, что в ближайшем будущем ситуация изменится в лучшую сторону. ""Мы надеемся, что, несмотря на текущие сложности, в будущем возможно улучшение российско-американских отношений"", - заявил Медведев.

При этом он также подчеркнул, что Россия всегда готова к конструктивному диалогу с США, основанному на взаимном уважении и учете интересов обеих сторон."
Сенатор Никонорова: рекомендация не посещать РФ 9 мая обличает двойные стандарты Европы,"Член комитета Совета Федерации по международным делам отметила, что для стран, ослушавшихся рекомендаций, есть угроза дополнительных препятствий на пути к вступлению в ЕС","МОСКВА, 25 апреля - РИА Новости. Сенатор Екатерина Никонорова, член комитета Совета Федерации по международным делам, в своем заявлении обличила двойные стандарты Европы, связанные с рекомендацией не посещать Российскую Федерацию 9 мая. По ее словам, для стран, не следующих данной рекомендации, возможно введение дополнительных препятствий на пути к вступлению в Европейский союз.

""Подобная позиция Европы отражает явное пренебрежение к исторической памяти и героическому прошлому наших стран, который должен объединять, а не разделять нас"", - подчеркнула Никонорова.

Сенатор осудила такой подход, отметив, что подобные меры являются попыткой переписать историю и свести на нет усилия наших предков, сражавшихся против фашизма. ""Позиция Европы в этом вопросе является прямым подтверждением двойных стандартов, которые она применяет"", - добавила она.

По ее словам, такие действия Европы не только противоречат духу сотрудничества и добрососедства, но и создают угрозу для стран, не прислушавшихся к данной рекомендации. ""Существует опасность введения дополнительных препятствий на пути к вступлению в Европейский союз для тех стран, которые пренебрегут этой рекомендацией"", - сказала Никонорова.

Сенатор выразила уверенность, что подобные попытки исказить историю и оскорбить память героев Великой Отечественной войны не останутся без ответа со стороны международного сообщества. ""Мы надеемся на поддержку всех стран, ценящих истину и справедливость, и продолжим борьбу за сохранение исторической памяти"", - заключила Никонорова."
Депутат Водолацкий назвал ничтожными угрозы Украины взорвать Крымский мост,"Первый зампред комитета Госдумы по делам СНГ добавил, что ждать от Киева соблюдения перемирия 9 мая, объявленного президентом РФ Владимиром Путиным, не стоит","МОСКВА, 7 мая. /ТАСС/. Первый заместитель председателя комитета Государственной думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками Владимир Водолацкий считает угрозы Украины взорвать Крымский мост ничтожными. Об этом он заявил в беседе с корреспондентом ТАСС.

""Угрозы, которые исходят из Украины, о взрыве Крымского моста, не несут в себе никакой серьезной угрозы. Это пустой шум, ничтожные высказывания, которые не стоят и гроша"", - сказал депутат.

Водолацкий также отметил, что не стоит рассчитывать на соблюдение Киевом перемирия 9 мая, объявленного президентом Российской Федерации Владимиром Путиным. ""Увы, история показывает, что руководство Украины не всегда придерживается заявленных обязательств. Поэтому вопрос соблюдения перемирия остается открытым"", - подчеркнул он.

Водолацкий выразил уверенность, что Россия обладает всеми необходимыми ресурсами для обеспечения безопасности Крымского моста и защиты своих граждан.

Крымский мост — это стратегический объект, соединяющий Крымский полуостров и материковую часть России. Его длина составляет 19 км, что делает его самым длинным мостом в Европе. Мост был открыт для автомобильного движения в мае 2018 года, а движение поездов по мосту началось в декабре 2019 года."
"МИД РФ: Швейцария не имеет права конфисковать 7,5 млрд франков из активов ЦБ","В швейцарском законодательстве ""отсутствуют юридические основания"", допускающие такую конфискацию, добавили в ведомстве","МОСКВА, 2 июля - Информационное агентство ТАСС. Министерство иностранных дел Российской Федерации заявило, что Швейцария не имеет права конфисковать 7.5 миллиардов швейцарских франков из активов Центрального банка РФ. По утверждению ведомства, в швейцарском законодательстве ""отсутствуют юридические основания"", допускающие такую конфискацию.

""Мы считаем, что такие действия Швейцарии нежелательны и незаконны. В швейцарском законодательстве ясно прописано, что конфискация активов иностранных государств может производиться только при наличии международного решения, которое должно быть обосновано и справедливо,"" - говорится в сообщении МИД РФ.

Ведомство подчеркнуло, что Россия будет защищать свои интересы по всем доступным правовым механизмам и ожидает от Швейцарии соблюдения международного права.

""Мы призываем Швейцарию к соблюдению принципов международного права, уважению суверенитета других государств и недопущению вмешательства в их внутренние дела,"" - добавили в МИД.

Ранее стало известно, что Швейцария рассматривает вопрос о возможной конфискации активов Центрального банка РФ. Это решение вызвало резкую реакцию со стороны России. В Кремле подчеркнули, что такое решение будет иметь негативные последствия для двусторонних отношений между странами.

По словам официального представителя МИД РФ, Марии Захаровой, Россия будет продолжать активные дипломатические усилия по решению данного вопроса."
Путин: Россию и ОАЭ связывают очень добрые дружеские отношения,Президент РФ принял вице-премьера арабской страны Сейфа бен Заида Аль Нахайяна в представительском кабинете Кремля,"МОСКВА, 21 июня - РИА Новости. Президент Российской Федерации Владимир Путин встретился с вице-премьером Объединенных Арабских Эмиратов, министром внутренних дел Шейхом Сейфом бен Заидом Аль Нахайяном. Встреча прошла в представительском кабинете Кремля 21 июня.

В ходе встречи глава государства подчеркнул прочные и добрые отношения, которые связывают Россию и ОАЭ. ""У нас действительно очень хорошие, я бы сказал, дружеские отношения. И я рад, что мы имеем возможность встретиться и обсудить текущую ситуацию и перспективы развития наших отношений"", - отметил Путин.

Сейф бен Заид Аль Нахайян, в свою очередь, выразил благодарность за теплый прием и подчеркнул важность таких встреч для развития двусторонних отношений. ""Мы очень ценим дружеские связи и партнерство с Россией. Эти отношения имеют глубокие корни и являются важным основанием для дальнейшего развития нашего сотрудничества в различных сферах"", - сказал он.

В ходе встречи стороны обсудили вопросы двустороннего сотрудничества в экономической, инвестиционной и гуманитарной сферах, а также актуальные вопросы международной повестки.

Ранее Путин и Сейф бен Заид Аль Нахайян обсуждали возможность углубления экономического сотрудничества России и ОАЭ в рамках СМИ-2 и перспективы расширения взаимных инвестиций.

Дипломатические отношения между Россией и ОАЭ были установлены в 1971 году. В настоящее время взаимодействие стран развивается в различных направлениях, включая сферы торговли, инвестиций, культуры и образования."
Президент Доминиканы встретился с главой МИД РФ,Сергей Лавров находится в республике с визитом,"МОСКВА, 18 мая - Информационное агентство ТАСС. В рамках рабочего визита в Доминиканскую Республику министр иностранных дел Российской Федерации Сергей Лавров провел встречу с президентом страны Луисом Абинаде. Об этом сообщает пресс-служба МИД РФ.

В ходе встречи стороны обсудили актуальные вопросы двустороннего сотрудничества и международные проблемы, включая ситуацию в Латинской Америке и Карибском регионе. Как подчеркнул Сергей Лавров, ""Россия ценит традиционно дружественные отношения с Доминиканской Республикой и заинтересована в их дальнейшем активном развитии"".

В рамках встречи главы МИД РФ и президента Доминиканской Республики обсуждались перспективы развития экономического сотрудничества, включая в области торговли, инвестиций и туризма. Поставлен вопрос о расширении юридической базы двусторонних отношений.

Сергей Лавров также затронул вопросы сотрудничества в рамках ООН и других международных организаций. ""Мы придаем большое значение углублению взаимодействия с Доминиканской Республикой на многосторонних площадках"", - подчеркнул министр.

Рабочий визит главы МИД РФ в Доминикану продолжится. В программе предполагаются встречи с главой парламента, министром экономики и другими высокопоставленными чиновниками страны.

Подробности встречи главы МИД РФ и президента Доминиканской Республики обещают озвучить позже."
Путин принял в Кремле вице-премьера - главу МВД ОАЭ,Сейф бен Заид Аль Нахайян ранее встречался в Москве с российским коллегой Владимиром Колокольцевым,"МОСКВА, 21 апреля. /ТАСС/. Президент Российской Федерации Владимир Путин принял в Кремле вице-премьера, а также главу Министерства внутренних дел Объединенных Арабских Эмиратов Сейфа бен Заида Аль Нахайяна. Об этом сообщает пресс-служба президента. 

В ходе встречи обсуждались вопросы развития билатерального сотрудничества в сфере безопасности. В частности, стороны обменялись мнениями по вопросам укрепления сотрудничества между правоохранительными органами двух стран. 

Отмечается, что Сейф бен Заид Аль Нахайян ранее встречался в Москве с российским коллегой Владимиром Колокольцевым. Подтверждено стремление обеих стран к дальнейшему развитию диалога в сфере обеспечения безопасности и борьбе с терроризмом.

Путин и Аль Нахайян также обсудили текущую ситуацию в регионе Ближнего Востока и Северной Африки. Российский лидер подчеркнул, что Россия выступает за урегулирование конфликтов исключительно мирными средствами и в рамках международного права.

Стороны выразили уверенность в том, что встреча способствует дальнейшему укреплению российско-эмиратского сотрудничества. В заключение встречи Путин и Аль Нахайян выразили обоюдное желание продолжать политический диалог на высшем уровне, а также расширять практическое взаимодействие в различных областях, включая обеспечение региональной безопасности."
